,,Ticker,Nombre d’actions,Cout Achat,Average purchase value,Net Liquidating Value,NLV en CHF,Dividendes Brut,Capital Gain,WHT tax,Net,Vente,Resultat sur transactions,Resultat y compris NLV,en CHF,Fees,Net en comptant fees,ROI
Total,,,,,,,CHF 39'364.21,,,,,,,,CHF 7'802.78,,CHF 7'201.98,16.05%
,Flow Bank,LEON.SW,0,CHF 498.03,CHF 0.00,CHF 0.00,CHF 0.00,CHF 20.00,CHF 20.00,CHF 7.00,CHF 33.00,-CHF 418.00,-CHF 47.03,-CHF 47.03,-CHF 47.03,CHF 0.00,-CHF 47.03,
,Yuh,ADEN.SW,0,CHF 472.30,CHF 0.00,CHF 0.00,CHF 0.00,CHF 18.50,CHF 6.50,CHF 6.48,CHF 18.52,-CHF 502.50,CHF 48.72,CHF 48.72,CHF 48.72,CHF 7.70,CHF 41.02,
,,SREN.SW,0,CHF 859.63,CHF 0.00,CHF 0.00,CHF 0.00,CHF 28.44,CHF 0.00,CHF 9.95,CHF 18.49,-CHF 884.01,CHF 42.88,CHF 42.88,CHF 42.88,CHF 0.00,CHF 42.88,
Stocks,Swissquote,ADEN.SW,16,CHF 592.00,CHF 37.00,CHF 411.84,CHF 411.84,CHF 56.00,CHF 0.00,CHF 19.60,CHF 36.40,CHF 0.00,-CHF 555.60,-CHF 143.76,-CHF 143.76,CHF 12.25,-CHF 156.01,
,,SREN.SW,40,CHF 4'140.00,CHF 103.50,CHF 5'850.00,CHF 5'850.00,CHF 488.92,CHF 0.00,CHF 171.13,CHF 317.79,CHF 0.00,-CHF 3'822.21,CHF 2'027.79,CHF 2'027.79,CHF 53.65,CHF 1'974.14,
,,MOZN.SW,0,CHF 612.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 22.32,CHF 18.18,CHF 7.81,CHF 32.69,-CHF 632.70,CHF 53.39,CHF 53.39,CHF 53.39,CHF 19.25,CHF 34.14,
,,DFNS.SW,40,CHF 1'158.00,CHF 28.95,CHF 1'872.80,CHF 1'872.80,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,-CHF 1'158.00,CHF 714.80,CHF 714.80,CHF 21.45,CHF 693.35,
,,VONN.SW,85,CHF 4'462.50,CHF 52.50,CHF 5'049.00,CHF 5'049.00,CHF 510.00,CHF 0.00,CHF 178.50,CHF 331.50,CHF 0.00,-CHF 4'131.00,CHF 918.00,CHF 918.00,CHF 35.20,CHF 882.80,
,,ICAD.PA,0,€ 4'437.00,€ 0.00,€ 0.00,CHF 0.00,€ 1'015.00,€ 0.00,€ 217.51,€ 797.49,-€ 3'407.50,-€ 232.01,-€ 232.01,-CHF 215.97,CHF 71.14,-CHF 287.11,
,,CMBN.SW,65,CHF 4'452.50,CHF 68.50,CHF 5'937.75,CHF 5'937.75,CHF 536.25,CHF 0.00,CHF 187.69,CHF 348.56,CHF 0.00,-CHF 4'103.94,CHF 1'833.81,CHF 1'833.81,CHF 38.62,CHF 1'795.19,
,,ROG.SW,0,CHF 4'370.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 366.70,CHF 0.00,CHF 128.35,CHF 238.35,-CHF 5'054.00,CHF 922.35,CHF 922.35,CHF 922.35,CHF 71.30,CHF 851.05,
,,TIETO.HE,200,€ 4'300.00,€ 21.50,€ 3'020.00,CHF 2'811.23,€ 444.00,€ 0.00,€ 155.40,€ 288.60,€ 0.00,-€ 4'011.40,-€ 991.40,-CHF 922.86,CHF 34.76,-CHF 957.62,
,,BKE,110,US$ 4'228.40,US$ 38.44,US$ 5'430.70,CHF 4'429.98,US$ 506.00,US$ 0.00,US$ 151.75,US$ 354.25,US$ 0.00,-US$ 3'874.15,US$ 1'556.55,CHF 1'269.72,CHF 45.04,CHF 1'224.68,
,,VOD.L,3540,£ 2'473.04,£ 0.70,£ 2'903.51,CHF 3'116.80,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,-£ 2'473.04,£ 430.46,CHF 462.09,CHF 49.88,CHF 412.21,
,,IONQ,80,US$ 2'374.04,US$ 29.68,US$ 3'189.60,CHF 2'601.85,US$ 0.00,US$ 0.00,US$ 0.00,US$ 0.00,US$ 0.00,-US$ 2'374.04,US$ 815.56,CHF 665.28,CHF 23.65,CHF 641.63,
,,SSAB-B.ST,150,SEK 7'867.50,SEK 52.45,SEK 8'325.00,CHF 691.31,SEK 390.00,SEK 0.00,SEK 117.00,SEK 273.00,SEK 0.00,-SEK 7'594.50,SEK 730.50,CHF 60.66,CHF 24.22,CHF 36.44,
,,8614.T,700,JP¥ 346'500.00,JP¥ 495.00,JP¥ 357'700.00,CHF 1'939.45,JP¥ 0.00,JP¥ 0.00,JP¥ 0.00,JP¥ 0.00,JP¥ 0.00,-JP¥ 346'500.00,JP¥ 11'200.00,CHF 60.73,CHF 25.55,CHF 35.18,
,,AMRZ.SW,50,CHF 2'020.00,CHF 40.40,CHF 2'053.00,CHF 2'053.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,-CHF 2'020.00,CHF 33.00,CHF 33.00,CHF 33.35,-CHF 0.35,
,,HOLN.SW,40,CHF 2'580.00,CHF 64.50,CHF 2'599.20,CHF 2'599.20,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,-CHF 2'580.00,CHF 19.20,CHF 19.20,CHF 33.80,-CHF 14.60,
,,UDVD,0,CHF 0.00,CHF 0.00,CHF 0.00,,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,,CHF 0.00,CHF 0.00,
,,,0,CHF 0.00,CHF 0.00,CHF 0.00,,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,,CHF 0.00,CHF 0.00,
,,,0,CHF 0.00,CHF 0.00,CHF 0.00,,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,CHF 0.00,