Date,Ticker,Quantity,Price,Cost,Cost en CHF,Fee,Banque,
23.1.2023,ADEN.SW,10,CHF 33.98,CHF 339.80,CHF 339.80,CHF 1.95,Yuh,
30.1.2023,SREN.SW,5,CHF 94.28,CHF 471.40,CHF 471.40,CHF 2.70,Yuh,
24.3.2023,LEON.SW,9,CHF 49.80,CHF 448.20,CHF 448.20,CHF 0.34,Flow Bank,
27.3.2023,LEON.SW,1,CHF 49.83,CHF 49.83,CHF 49.83,CHF 0.00,Flow Bank,
21.4.2023,ADEN.SW,3,CHF 30.23,CHF 90.69,CHF 90.69,CHF 1.05,Yuh,
28.07.23,LEON.SW,-10,CHF 41.80,-CHF 418.00,-CHF 418.00,CHF 0.31,Flow Bank,
2.8.2023,SREN.SW,-5,CHF 88.48,-CHF 442.40,-CHF 442.40,CHF 2.55,Yuh,
2.8.2023,ADEN.SW,-13,CHF 34.99,-CHF 454.87,-CHF 454.87,CHF 2.60,Yuh,
2.8.2023,SREN.SW,4.3937,CHF 88.36,CHF 388.23,CHF 388.23,CHF 2.25,Yuh,
7.8.2023,ADEN.SW,1.1321,CHF 36.93,CHF 41.81,CHF 41.81,CHF 1.05,Yuh,
15.8.2023,ADEN.SW,16,CHF 37.00,CHF 592.00,CHF 592.00,CHF 12.25,Swissquote,
15.8.2023,SREN.SW,6,CHF 85.00,CHF 510.00,CHF 510.00,CHF 12.25,Swissquote,
5.9.2023,IONQ,4,US$ 17.30,US$ 69.20,CHF 61.23,CHF 5.26,Swissquote,USD
2.10.2023,SREN.SW,3,CHF 94.00,CHF 282.00,CHF 282.00,CHF 7.05,Swissquote,
17.10.2023,MOZN.SW,45,CHF 13.60,CHF 612.00,CHF 612.00,CHF 12.80,Swissquote,
30.11.2023,SREN.SW,-2,CHF 103.30,-CHF 206.60,-CHF 206.60,CHF 1.20,Yuh,
4.12.2023,ADEN.SW,-1.1321,CHF 42.07,-CHF 47.63,-CHF 47.63,CHF 1.05,Yuh,
4.12.2023,SREN.SW,-2.3937,CHF 98.18,-CHF 235.01,-CHF 235.01,CHF 1.40,Yuh,
15.2.2024,DFNS.SW,20,CHF 24.90,CHF 498.00,CHF 498.00,CHF 12.60,Swissquote,
19.2.2024,VONN.SW,85,CHF 52.50,CHF 4'462.50,CHF 4'462.50,CHF 35.20,Swissquote,
19.2.2024,CMBN.SW,65,CHF 68.50,CHF 4'452.50,CHF 4'452.50,CHF 38.62,Swissquote,
19.2.2024,ICAD.PA,145,€ 30.60,€ 4'437.00,CHF 4'214.26,CHF 37.51,Swissquote,EUR
26.2.2024,ROG.SW,19,CHF 230.00,CHF 4'370.00,CHF 4'370.00,CHF 35.15,Swissquote,
26.2.2024,TIETO.HE,200,€ 21.50,€ 4'300.00,CHF 4'100.05,CHF 34.76,Swissquote,EUR
9.4.2024,SREN.SW,31,CHF 108.00,CHF 3'348.00,CHF 3'348.00,CHF 34.35,Swissquote,
10.4.2024,BKE,110,US$ 38.44,US$ 4'228.40,CHF 3'818.25,CHF 45.04,Swissquote,USD
15.11.2024,MOZN.SW,-45,CHF 14.06,-CHF 632.70,-CHF 632.70,CHF 6.45,Swissquote,
15.11.2024,VOD.L,3540,£ 0.6986,£ 2'473.04,CHF 2'788.85,CHF 49.88,Swissquote,GBP
10.2.2025,IONQ,36,US$ 39.79,US$ 1'432.44,CHF 1'304.52,CHF 11.96,Swissquote,USD
6.3.2025,IONQ,40,US$ 21.81,US$ 872.40,CHF 777.05,CHF 6.42,Swissquote,USD
7.4.2025,DFNS.SW,20,CHF 33.00,CHF 660.00,CHF 660.00,CHF 8.85,Swissquote,
9.4.2025,SSAB-B.ST,150,SEK 52.45,SEK 7'867.50,CHF 664.80,CHF 24.22,Swissquote,SEK
26.5.2025,ICAD.PA,-145,€ 23.50,-€ 3'407.50,-CHF 3'187.03,CHF 33.63,Swissquote,EUR
23.6.2025,8614.T,700,JP¥ 495.00,JP¥ 346'500.00,CHF 1'940.40,CHF 25.55,Swissquote,JPY
24.07.2025,ROG.SW,-19,CHF 266.00,-CHF 5'054.00,-CHF 5'054.00,CHF 36.15,Swissquote,
25.7.2025,AMRZ.SW,50,CHF 40.40,CHF 2'020.00,CHF 2'020.00,CHF 33.35,Swissquote,
28.7.2025,HOLN.SW,40,CHF 64.50,CHF 2'580.00,CHF 2'580.00,CHF 33.80,Swissquote,
28.7.2025,UDVD,20,US$ 76.79,US$ 1'535.80,CHF 1'221.58,CHF 9.33,Yuh,USD
,,,,CHF 0.00,,,,
,,,,CHF 0.00,,,,
,,,,CHF 0.00,,,,
,,,,CHF 0.00,,,,
,,,,CHF 0.00,,,,
,,,,CHF 0.00,,,,
,,,,CHF 0.00,,,,
,,,,CHF 0.00,,,,
,,,,CHF 0.00,,,,
,,,,CHF 0.00,,,,
,,,,CHF 0.00,,,,