Previsional,Echéance,Mensuelle,Juin,Mois jusque échéance,Provision mensuelle 2025,July,August,September,October,November,December,,Provision à échéance 2025,Fin 2025,Check Provisions
Hypothèque,,,,,,,,,,,,,,,
Capital,Juin,-CHF 2'000,CHF 24'000,0,CHF 2'000,CHF 2'000,CHF 2'000,CHF 2'000,CHF 2'000,CHF 2'000,CHF 2'000,,,CHF 12'000,OK
Intérêts,"Mars, Juin, Septembre, Décembre",-CHF 664,CHF 1'993,0,CHF 664,CHF 664,CHF 664,CHF 664,CHF 664,CHF 664,CHF 664,,CHF 1'993,,
Assurances,,,,,,,,,,,,,,,
Maison,"Juin, Décembre",-CHF 246,CHF 1'475,0,CHF 246,CHF 246,CHF 246,CHF 246,CHF 246,CHF 246,CHF 246,,CHF 1'475,,OK
Wau-Miau,Juin,-CHF 59,0,6,CHF 59,CHF 59,CHF 59,CHF 59,CHF 59,CHF 59,CHF 59,,CHF 354,CHF 354,OK
Voiture(s),,,,,,,,,,,,,,,
Tesla,Octobre,-CHF 161,CHF 1'285,4,CHF 482,CHF 482,CHF 482,CHF 482,CHF 482,CHF 161,CHF 161,,CHF 1'927,CHF 321,OK
Fiat,Décembre,-CHF 104,CHF 626,6,CHF 209,CHF 209,CHF 209,CHF 209,CHF 209,CHF 209,CHF 209,,CHF 1'251,,OK
Décès Alain,"Juin, Décembre",-CHF 267,CHF 1'602,0,CHF 267,CHF 267,CHF 267,CHF 267,CHF 267,CHF 267,CHF 267,,CHF 1'602,,OK
Décès Martine,Novembre,-CHF 60,CHF 417,5,CHF 143,CHF 143,CHF 143,CHF 143,CHF 143,CHF 143,CHF 60,,CHF 715,CHF 60,OK
Alex RC,Avril,-CHF 11,CHF 22,6,CHF 14,CHF 14,CHF 14,CHF 14,CHF 14,CHF 14,CHF 14,,,CHF 86,NOK
Personnel Maison,Décembre,-CHF 8,CHF 50,6,CHF 17,CHF 17,CHF 17,CHF 17,CHF 17,CHF 17,CHF 17,,CHF 100,,OK
Médicale,Décembre,-CHF 44,CHF 265,6,CHF 88,CHF 88,CHF 88,CHF 88,CHF 88,CHF 88,CHF 88,CHF 4'958,CHF 530,,OK
Oiken,,-CHF 200,,,,,,,,,,CHF 826,,,OK
Yallo,,,,,,,,,,,,,,,OK
Zattoo,Septembre,-CHF 17,CHF 150,3,CHF 67,CHF 67,CHF 67,CHF 67,CHF 17,CHF 17,CHF 17,,CHF 200,CHF 50,OK
Taxes,,,,,,,,,,,,,,,OK
Voiture(s),Février,-CHF 40,CHF 162,6,CHF 67,CHF 67,CHF 67,CHF 67,CHF 67,CHF 67,CHF 67,,,CHF 404,OK
Commune,Février,-CHF 25,CHF 100,6,CHF 42,CHF 42,CHF 42,CHF 42,CHF 42,CHF 42,CHF 42,,,CHF 250,OK
Chien,Mars,-CHF 14,CHF 41,6,CHF 21,CHF 21,CHF 21,CHF 21,CHF 21,CHF 21,CHF 21,,,CHF 124,OK
Canton,Octobre,-CHF 37,CHF 293,4,CHF 110,CHF 110,CHF 110,CHF 110,CHF 110,CHF 37,CHF 37,,CHF 440,CHF 73,OK
Confédération,,CHF 0,0,,,,,,,,,,,,OK
Frais Banque,,,0,,,,,,,,,,,,OK
Eau & Eaux usées,Juillet,-CHF 71,CHF 783,1,CHF 854,CHF 854,CHF 71,CHF 71,CHF 71,CHF 71,CHF 71,,CHF 854,CHF 356,OK
Sécurité,,,0,,,,,,,,,,,,OK
Entretien & Travaux Voiture(s),Juin,-CHF 81,0,,,,,,,,,,,,OK
Montre(s),,,0,,,,,,,,,,,,OK
Ricardo,,-CHF 95,0,,,,,,,,,,,,OK
MJ Paysages,"Février, Septembre",-CHF 146,CHF 583,3,CHF 340,CHF 340,CHF 340,CHF 340,CHF 146,CHF 146,CHF 146,,CHF 1'021,CHF 437,OK
Catia,,,0,,,,,,,,,,,,OK
Salaire,,,0,,,,,,,,,,,,
Caisse Compensation,Février,-CHF 92,CHF 367,6,CHF 153,CHF 153,CHF 153,CHF 153,CHF 153,CHF 153,CHF 153,,,CHF 917,NOK
,,,,,,,,,,,,,,,
,,CHF 4'441,,,CHF 5'842,CHF 5'842,CHF 5'060,CHF 5'060,CHF 4'815,CHF 4'421,CHF 4'337,,,,
,,CHF 53'292,,,,,,,,,,,,,
,,,,Juillet,CHF 5'842,,,,,,,,,,
,,,,Août,CHF 5'060,,,,,,,,,,
,,,,Septembre,CHF 5'060,,,,,,,,,,
,,,,Octobre,CHF 4'815,,,,,,,,,,
,,,,Novembre,CHF 4'337,,,,,,,,,,
,,,,Décembre,CHF 4'337,,,,,,,,,,