,CHF,Dimension,,
"TinyPool XS -20”, machinerie déportée",CHF 22'490.00,5.70 x 2.34 x 1.15 m,Peut être plus cher avec la machinerie,
Badujet Smart,CHF 4'690.00,"40 m3/h, sans doute pas assez",Nettement moins cher en France,
Option 1m40,CHF 3'190.00,,,
3D Touch,CHF 1'990.00,,,
Rideau BWT,CHF 6'690.00,,,
Asservissement electrolyseur,CHF 590.00,,,
Electrolyseur EEAS PRO,CHF 6'290.00,,,
Pompe à chaleur,CHF 3'790.00,10.6 Kw,,
Sortie de bain,CHF 290.00,,,
Tableau électrique connecté,CHF 790.00,,,
,,,,
,,,,
Total,CHF 50'800.00,,,